depth,MAE,MSE,MAPE
4,2915.681295166387,16965532.289793108,0.07442188137920784
9,1024.9800433579692,2811433.3594257613,0.025740107728859565
16,426.09013094357374,1098916.0073022489,0.010881270117181758
25,316.14455622366523,1036413.4149769914,0.008112845704664999
36,315.044908285895,1025178.5641998735,0.008092640192302714
49,318.0732131562302,1053047.5858633777,0.00816329816713955
64,316.2004269449715,987441.6091872233,0.008100653357046034
81,314.994623655914,1007153.6045224541,0.008066346138198574
