time,value
3.61,156291
3.62,156291
3.63,156291
3.64,156291
3.65,156291
3.66,156291
3.67,156291
3.68,156291
3.69,156291
3.7,156291
3.71,156291
3.72,156291
3.73,156291
3.74,156291
3.75,156291
3.7600000000000002,156291
3.77,156291
3.7800000000000002,156291
3.79,156291
3.8000000000000003,156291
3.81,156291
3.8200000000000003,156291
3.83,156291
3.84,156291
3.85,156291
3.86,156291
3.87,156291
3.88,156291
3.89,156291
3.9,156291
3.91,156291
3.92,156291
3.93,156291
3.94,156291
3.95,156291
3.96,156291
3.97,156291
3.98,156291
3.99,156291
4.0,156291
4.01,156291
4.0200000000000005,156291
4.03,156291
4.04,156291
4.05,156291
4.0600000000000005,156291
4.07,156291
4.08,156291
4.09,156291
4.1,156291
4.11,156291
4.12,156291
4.13,156291
4.14,156291
4.15,156291
4.16,156291
4.17,156291
4.18,156291
4.19,156291
4.2,156291
4.21,156291
4.22,156291
4.23,156291
4.24,156291
4.25,156291
4.26,156291
4.2700000000000005,156291
4.28,156291
4.29,156291
4.3,156291
4.3100000000000005,156291
4.32,156291
4.33,156291
4.34,156291
4.3500000000000005,156291
4.36,156291
4.37,156291
4.38,156291
4.39,156291
4.4,156291
4.41,156291
4.42,156291
4.43,156291
4.44,156291
4.45,156291
4.46,156291
4.47,156291
4.48,156291
4.49,156291
4.5,156291
4.51,156291
4.5200000000000005,156291
4.53,156291
4.54,156291
4.55,156291
4.5600000000000005,156291
4.57,156291
4.58,156291
4.59,156291
4.6000000000000005,156291
4.61,156291
4.62,156291
4.63,156291
4.64,156291
4.65,156291
4.66,156291
4.67,156291
4.68,156291
4.69,156291
4.7,156291
4.71,156291
4.72,156291
4.73,156291
4.74,156291
4.75,156291
4.76,156291
4.7700000000000005,156291
4.78,156291
4.79,156291
4.8,156291
4.8100000000000005,156291
4.82,156291
4.83,156291
4.84,156291
4.8500000000000005,156291
4.86,156291
4.87,156291
4.88,156291
4.89,156291
4.9,156291
4.91,156291
4.92,156291
4.93,156291
4.94,156291
4.95,156291
4.96,156291
4.97,156291
4.98,156291
4.99,156291
5.0,156291
5.01,156291
5.0200000000000005,156291
5.03,156291
5.04,156291
5.05,156291
5.0600000000000005,156291
5.07,156291
5.08,156291
5.09,156291
5.1000000000000005,156291
5.11,156291
5.12,156291
5.13,156291
5.14,156291
5.15,156291
5.16,156291
5.17,156291
5.18,156291
5.19,156291
5.2,156291
5.21,156291
5.22,156291
5.23,156291
5.24,156291
5.25,156291
5.26,156291
5.2700000000000005,156291
5.28,156291
5.29,156291
5.3,156291
5.3100000000000005,156291
5.32,156291
5.33,156291
5.34,156291
5.3500000000000005,156291
5.36,156291
5.37,156291
5.38,156291
5.39,156291
5.4,156291
5.41,156291
5.42,156291
5.43,156291
5.44,156291
5.45,156291
5.46,156291
5.47,156291
5.48,156291
5.49,156291
5.5,156291
5.51,156291
5.5200000000000005,156291
5.53,156291
5.54,156291
5.55,156291
5.5600000000000005,156291
5.57,156291
5.58,156291
5.59,156291
5.6000000000000005,156291
5.61,156291
5.62,156291
5.63,156291
5.64,156291
5.65,156291
5.66,156291
5.67,156291
5.68,156291
5.69,156291
5.7,156291
5.71,156291
5.72,156291
5.73,156291
5.74,156291
5.75,156291
5.76,156291
5.7700000000000005,156291
5.78,156291
5.79,156291
5.8,156291
5.8100000000000005,156291
5.82,156291
5.83,156291
5.84,156291
5.8500000000000005,156291
5.86,156291
5.87,156291
5.88,156291
5.89,156291
5.9,156291
5.91,156291
5.92,156291
5.93,156291
5.94,156291
5.95,156291
5.96,156291
5.97,156291
5.98,156291
5.99,156291
6.0,156291
6.01,156291
6.0200000000000005,156291
6.03,156291
6.04,156291
6.05,156291
6.0600000000000005,156291
6.07,156291
6.08,156291
6.09,156291
6.1000000000000005,156291
6.11,156291
6.12,156291
6.13,156291
6.140000000000001,156291
6.15,156291
6.16,156291
6.17,156291
6.18,156291
6.19,156291
6.2,156291
6.21,156291
6.22,156291
6.23,156291
6.24,156291
6.25,156291
6.26,156291
6.2700000000000005,156291
6.28,156291
6.29,156291
6.3,156291
6.3100000000000005,156291
6.32,156291
6.33,156291
6.34,156291
6.3500000000000005,156291
6.36,156291
6.37,156291
6.38,156291
6.390000000000001,156291
6.4,156291
6.41,156291
6.42,156291
6.43,156291
6.44,156291
6.45,156291
6.46,156291
6.47,156291
6.48,156291
6.49,156291
6.5,156291
6.51,156291
6.5200000000000005,156291
6.53,156291
6.54,156291
6.55,156291
6.5600000000000005,156291
