depth,MAE,MSE,MAPE
4,2915.681295166387,16965532.289793108,0.07442188137920784
9,999.641792868414,2710509.3404315608,0.025163109397762395
16,393.21965639720037,1019746.9761514787,0.010063007749668514
25,299.47238630259864,957396.4419861885,0.007703659737469322
36,298.8563409234662,972371.2922991777,0.007678990553395372
49,296.6816888045541,933476.7942757749,0.007581422461387111
64,299.28130929791274,937553.2716635041,0.007689719357367667
81,296.34614168247947,895736.5343137255,0.007572763709604262
