I1,U1,U2,U3,R
0,0,5,15,10
0.000250083361120373,0.00500166722240747,5,14.9949983327776,10
0.000500166722240747,0.0100033344448149,5,14.9899966655552,10
0.00075025008336112,0.0150050016672224,5,14.9849949983328,10
0.00100033344448149,0.0200066688896299,5,14.9799933311104,10
0.00125041680560187,0.0250083361120373,5,14.974991663888,10
0.00150050016672224,0.0300100033344448,5,14.9699899966656,10
0.00175058352784261,0.0350116705568523,5,14.9649883294431,10
0.00200066688896299,0.0400133377792597,5,14.9599866622207,10
0.00225075025008336,0.0450150050016672,5,14.9549849949983,10
0.00250083361120373,0.0500166722240747,5,14.9499833277759,10
0.00275091697232411,0.0550183394464822,5,14.9449816605535,10
0.00300100033344448,0.0600200066688896,5,14.9399799933311,10
0.00325108369456485,0.0650216738912971,5,14.9349783261087,10
0.00350116705568523,0.0700233411137046,5,14.9299766588863,10
0.0037512504168056,0.075025008336112,5,14.9249749916639,10
0.00400133377792597,0.0800266755585195,5,14.9199733244415,10
0.00425141713904635,0.085028342780927,5,14.9149716572191,10
0.00450150050016672,0.0900300100033345,5,14.9099699899967,10
0.0047515838612871,0.0950316772257419,5,14.9049683227743,10
0.00500166722240747,0.100033344448149,5,14.8999666555519,10
0.00525175058352784,0.105035011670557,5,14.8949649883294,10
0.00550183394464822,0.110036678892964,5,14.889963321107,10
0.00575191730576859,0.115038346115372,5,14.8849616538846,10
0.00600200066688896,0.120040013337779,5,14.8799599866622,10
0.00625208402800934,0.125041680560187,5,14.8749583194398,10
0.00650216738912971,0.130043347782594,5,14.8699566522174,10
0.00675225075025008,0.135045015005002,5,14.864954984995,10
0.00700233411137046,0.140046682227409,5,14.8599533177726,10
0.00725241747249083,0.145048349449817,5,14.8549516505502,10
0.0075025008336112,0.150050016672224,5,14.8499499833278,10
0.00775258419473158,0.155051683894632,5,14.8449483161054,10
0.00800266755585195,0.160053351117039,5,14.839946648883,10
0.00825275091697232,0.165055018339446,5,14.8349449816606,10
0.0085028342780927,0.170056685561854,5,14.8299433144381,10
0.00875291763921307,0.175058352784261,5,14.8249416472157,10
0.00900300100033345,0.180060020006669,5,14.8199399799933,10
0.00925308436145382,0.185061687229076,5,14.8149383127709,10
0.00950316772257419,0.190063354451484,5,14.8099366455485,10
0.00975325108369457,0.195065021673891,5,14.8049349783261,10
0.0100033344448149,0.200066688896299,5,14.7999333111037,10
0.0102534178059353,0.205068356118706,5,14.7949316438813,10
0.0105035011670557,0.210070023341114,5,14.7899299766589,10
0.0107535845281761,0.215071690563521,5,14.7849283094365,10
0.0110036678892964,0.220073357785929,5,14.7799266422141,10
0.0112537512504168,0.225075025008336,5,14.7749249749917,10
0.0115038346115372,0.230076692230744,5,14.7699233077693,10
0.0117539179726576,0.235078359453151,5,14.7649216405468,10
0.0120040013337779,0.240080026675559,5,14.7599199733244,10
0.0122540846948983,0.245081693897966,5,14.754918306102,10
0.0125041680560187,0.250083361120373,5,14.7499166388796,10
0.012754251417139,0.255085028342781,5,14.7449149716572,10
0.0130043347782594,0.260086695565188,5,14.7399133044348,10
0.0132544181393798,0.265088362787596,5,14.7349116372124,10
0.0135045015005002,0.270090030010003,5,14.72990996999,10
0.0137545848616205,0.275091697232411,5,14.7249083027676,10
0.0140046682227409,0.280093364454818,5,14.7199066355452,10
0.0142547515838613,0.285095031677226,5,14.7149049683228,10
0.0145048349449817,0.290096698899633,5,14.7099033011004,10
0.014754918306102,0.295098366122041,5,14.704901633878,10
0.0150050016672224,0.300100033344448,5,14.6998999666556,10
0.0152550850283428,0.305101700566856,5,14.6948982994331,10
0.0155051683894632,0.310103367789263,5,14.6898966322107,10
0.0157552517505835,0.315105035011671,5,14.6848949649883,10
0.0160053351117039,0.320106702234078,5,14.6798932977659,10
0.0162554184728243,0.325108369456485,5,14.6748916305435,10
0.0165055018339446,0.330110036678893,5,14.6698899633211,10
0.016755585195065,0.3351117039013,5,14.6648882960987,10
0.0170056685561854,0.340113371123708,5,14.6598866288763,10
0.0172557519173058,0.345115038346115,5,14.6548849616539,10
0.0175058352784261,0.350116705568523,5,14.6498832944315,10
0.0177559186395465,0.35511837279093,5,14.6448816272091,10
0.0180060020006669,0.360120040013338,5,14.6398799599867,10
0.0182560853617873,0.365121707235745,5,14.6348782927643,10
0.0185061687229076,0.370123374458153,5,14.6298766255418,10
0.018756252084028,0.37512504168056,5,14.6248749583194,10
0.0190063354451484,0.380126708902968,5,14.619873291097,10
0.0192564188062688,0.385128376125375,5,14.6148716238746,10
0.0195065021673891,0.390130043347783,5,14.6098699566522,10
0.0197565855285095,0.39513171057019,5,14.6048682894298,10
0.0200066688896299,0.400133377792598,5,14.5998666222074,10
0.0202567522507502,0.405135045015005,5,14.594864954985,10
0.0205068356118706,0.410136712237412,5,14.5898632877626,10
0.020756918972991,0.41513837945982,5,14.5848616205402,10
0.0210070023341114,0.420140046682227,5,14.5798599533178,10
0.0212570856952317,0.425141713904635,5,14.5748582860954,10
0.0215071690563521,0.430143381127042,5,14.569856618873,10
0.0217572524174725,0.43514504834945,5,14.5648549516506,10
0.0220073357785929,0.440146715571857,5,14.5598532844281,10
0.0222574191397132,0.445148382794265,5,14.5548516172057,10
0.0225075025008336,0.450150050016672,5,14.5498499499833,10
0.022757585861954,0.45515171723908,5,14.5448482827609,10
0.0230076692230744,0.460153384461487,5,14.5398466155385,10
0.0232577525841947,0.465155051683895,5,14.5348449483161,10
0.0235078359453151,0.470156718906302,5,14.5298432810937,10
0.0237579193064355,0.47515838612871,5,14.5248416138713,10
0.0240080026675559,0.480160053351117,5,14.5198399466489,10
0.0242580860286762,0.485161720573525,5,14.5148382794265,10
0.0245081693897966,0.490163387795932,5,14.5098366122041,10
0.024758252750917,0.495165055018339,5,14.5048349449817,10
0.0250083361120373,0.500166722240747,5,14.4998332777593,10
0.0252584194731577,0.505168389463154,5,14.4948316105368,10
0.0255085028342781,0.510170056685562,5,14.4898299433144,10
0.0257585861953985,0.515171723907969,5,14.484828276092,10
0.0260086695565188,0.520173391130377,5,14.4798266088696,10
0.0262587529176392,0.525175058352784,5,14.4748249416472,10
0.0265088362787596,0.530176725575192,5,14.4698232744248,10
0.02675891963988,0.535178392797599,5,14.4648216072024,10
0.0270090030010003,0.540180060020007,5,14.45981993998,10
0.0272590863621207,0.545181727242414,5,14.4548182727576,10
